state,district,key,year,season,rain_mm,n_days,rain_normal_mm,rain_anom_mm,rain_anom_pct
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2020-2021,Kharif,872.36,122,566.6,305.76,53.96
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2021-2022,Kharif,616.68,122,566.6,50.08,8.84
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2022-2023,Kharif,706.47,122,566.6,139.87,24.69
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2023-2024,Kharif,438.41,122,566.6,-128.19,-22.62
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1997-1998,Rabi,202.01,182,120.24,81.76,68.0
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1998-1999,Rabi,197.59,182,120.24,77.35,64.33
MAHARASHTRA,AHMEDNAGAR,ahmednagar,1999-2000,Rabi,193.68,183,120.24,73.44,61.08
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2000-2001,Rabi,63.21,182,120.24,-57.03,-47.43
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2001-2002,Rabi,163.64,182,120.24,43.4,36.09
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2002-2003,Rabi,28.34,182,120.24,-91.9,-76.43
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2003-2004,Rabi,27.78,183,120.24,-92.47,-76.9
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2004-2005,Rabi,93.09,182,120.24,-27.15,-22.58
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2005-2006,Rabi,56.33,182,120.24,-63.91,-53.15
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2006-2007,Rabi,81.74,182,120.24,-38.5,-32.02
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2007-2008,Rabi,49.43,183,120.24,-70.81,-58.89
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2008-2009,Rabi,55.84,182,120.24,-64.4,-53.56
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2009-2010,Rabi,171.02,182,120.24,50.78,42.23
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2010-2011,Rabi,126.22,182,120.24,5.97,4.97
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2011-2012,Rabi,45.13,183,120.24,-75.11,-62.47
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2012-2013,Rabi,97.48,182,120.24,-22.76,-18.93
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2013-2014,Rabi,132.33,182,120.24,12.09,10.06
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2014-2015,Rabi,151.06,182,120.24,30.82,25.63
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2015-2016,Rabi,68.33,183,120.24,-51.91,-43.17
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2016-2017,Rabi,98.85,182,120.24,-21.39,-17.79
MAHARASHTRA,AHMEDNAGAR,ahmednagar,2017-2018,Rabi,103.61,182,120.24,-16.63,-13.83
